page,country,rev_id,prediction,population,region
Cambodian People's Party–FUNCINPEC coalition agreement,Cambodia,732331264.0,Stub,15.497,ASIA
Chuop Hell,Cambodia,735512767.0,Stub,15.497,ASIA
Kong Korm,Cambodia,736093077.0,Stub,15.497,ASIA
Chan Nak,Cambodia,736538934.0,Stub,15.497,ASIA
Huy Kanthoul,Cambodia,736539294.0,Stub,15.497,ASIA
Vorn Vet,Cambodia,736715950.0,Stub,15.497,ASIA
Yat Hwaidi,Cambodia,737025619.0,Stub,15.497,ASIA
Khim Tit,Cambodia,737804996.0,Stub,15.497,ASIA
Son Chhay,Cambodia,738180794.0,Start,15.497,ASIA
Kep Chuktema,Cambodia,738478052.0,Start,15.497,ASIA
Nuth Rumduol,Cambodia,738512371.0,Stub,15.497,ASIA
Khieu Thavika,Cambodia,738804016.0,Stub,15.497,ASIA
Norodom Phurissara,Cambodia,738987957.0,Start,15.497,ASIA
Daran Kravanh,Cambodia,738989624.0,Stub,15.497,ASIA
Sisowath Monireth,Cambodia,738992094.0,Start,15.497,ASIA
Sisowath Youtevong,Cambodia,738992441.0,Stub,15.497,ASIA
Ou Chanrith,Cambodia,739217591.0,Stub,15.497,ASIA
Yem Ponhearith,Cambodia,741680078.0,Stub,15.497,ASIA
Chrea Sochenda,Cambodia,741923960.0,Stub,15.497,ASIA
Vong Kan,Cambodia,742006559.0,Stub,15.497,ASIA
Yos Son,Cambodia,742067282.0,Stub,15.497,ASIA
Hun Many,Cambodia,744291790.0,Stub,15.497,ASIA
Chhean Vam,Cambodia,747052284.0,Stub,15.497,ASIA
Oum Chheang Sun,Cambodia,747052769.0,Stub,15.497,ASIA
Norodom Kantol,Cambodia,747053219.0,Stub,15.497,ASIA
Khieu Rada,Cambodia,747555899.0,Start,15.497,ASIA
Ieu Koeus,Cambodia,747628491.0,Stub,15.497,ASIA
Cheng Heng,Cambodia,747784875.0,Start,15.497,ASIA
Mok Mareth,Cambodia,747945224.0,Start,15.497,ASIA
Kieng Vang,Cambodia,748137241.0,Stub,15.497,ASIA
Sisowath Watchayavong,Cambodia,748488170.0,Stub,15.497,ASIA
Sokhom So,Cambodia,749156496.0,Stub,15.497,ASIA
Min Sean,Cambodia,749304614.0,Stub,15.497,ASIA
Y Chhean,Cambodia,749338398.0,Stub,15.497,ASIA
Poa Bun Sreu,Cambodia,749357713.0,Stub,15.497,ASIA
Toan Vanthara,Cambodia,749387326.0,Stub,15.497,ASIA
Sok Soty,Cambodia,749388858.0,Stub,15.497,ASIA
Pal Sam Oeun,Cambodia,749396845.0,Stub,15.497,ASIA
Ngor Sovann,Cambodia,749470256.0,Stub,15.497,ASIA
Kea Sahorn,Cambodia,749510551.0,Stub,15.497,ASIA
Suos Kanan,Cambodia,749517390.0,Stub,15.497,ASIA
Im Chhun Lim,Cambodia,749537624.0,Stub,15.497,ASIA
Tram Iv Teuk,Cambodia,749537772.0,Stub,15.497,ASIA
Hem Khorn,Cambodia,749561164.0,Stub,15.497,ASIA
Um Nhanh,Cambodia,749569686.0,Stub,15.497,ASIA
Poa Try,Cambodia,749570183.0,Stub,15.497,ASIA
Yim Chhaily,Cambodia,749683882.0,Stub,15.497,ASIA
Ith Prang,Cambodia,749704384.0,Stub,15.497,ASIA
Try Chheang Huot,Cambodia,749710492.0,Stub,15.497,ASIA
Suk Sam Eng,Cambodia,749945690.0,Stub,15.497,ASIA
Nim Thot,Cambodia,749967879.0,Stub,15.497,ASIA
Ngin Khorn,Cambodia,749970189.0,Stub,15.497,ASIA
Sorn Inthor,Cambodia,749977252.0,Stub,15.497,ASIA
You Hockry,Cambodia,750055098.0,Stub,15.497,ASIA
Samrith Pech,Cambodia,750074445.0,Stub,15.497,ASIA
Un Neung,Cambodia,750077042.0,Stub,15.497,ASIA
Bou Thang,Cambodia,750179637.0,Stub,15.497,ASIA
Peter Khoy Saukam,Cambodia,751227068.0,Start,15.497,ASIA
Tuot Saron,Cambodia,752967379.0,Start,15.497,ASIA
Phoeurng Sackona,Cambodia,752979708.0,Stub,15.497,ASIA
Nhek Bun Chhay,Cambodia,753086260.0,Stub,15.497,ASIA
Cheam Yeab,Cambodia,753684881.0,Stub,15.497,ASIA
Chea Poch,Cambodia,753689952.0,Stub,15.497,ASIA
Chin Bun Sean,Cambodia,753692176.0,Stub,15.497,ASIA
Chhim Siek Leng,Cambodia,753695057.0,Stub,15.497,ASIA
Chea Soth,Cambodia,753711610.0,Stub,15.497,ASIA
Ke Pauk,Cambodia,754318281.0,Stub,15.497,ASIA
Kong Sam Ol,Cambodia,754944744.0,Stub,15.497,ASIA
Pho Proeung,Cambodia,755504987.0,Stub,15.497,ASIA
San Yun,Cambodia,756129985.0,Stub,15.497,ASIA
Tiv Ol,Cambodia,756722795.0,Start,15.497,ASIA
Son Ngoc Thanh,Cambodia,758665997.0,C,15.497,ASIA
Monovithya Kem,Cambodia,759510662.0,Stub,15.497,ASIA
Mom Chim Huy,Cambodia,761412104.0,Stub,15.497,ASIA
Norodom Norindeth,Cambodia,761941416.0,Start,15.497,ASIA
Hem Heng,Cambodia,763098565.0,Start,15.497,ASIA
Chum Bunrong,Cambodia,763098588.0,Stub,15.497,ASIA
Duong Vanna,Cambodia,763316692.0,Stub,15.497,ASIA
